Price,Close,High,Low,Open,Volume
Ticker,IRCTC.NS,IRCTC.NS,IRCTC.NS,IRCTC.NS,IRCTC.NS
Date,,,,,
2020-10-21,258.0536193847656,260.4079215837305,257.3269807134552,258.983708605282,782035
2020-10-22,257.27850341796875,259.2065380041814,257.0072261812606,258.2958152308753,453130
2020-10-23,257.31719970703125,258.2666845752913,257.13311560433806,257.52065019058927,422515
2020-10-26,255.90274047851562,257.9082700938019,255.38925038816217,257.5207058567803,797865
2020-10-27,256.93939208984375,257.50131286827065,251.32973444561313,256.93939208984375,1070910
2020-10-28,258.3636169433594,259.4583941937244,253.83906787668872,256.5518399813959,925025
2020-10-29,257.83074951171875,259.6521950134286,253.83908616984434,253.83908616984434,828875
2020-10-30,254.84671020507812,257.607942929952,253.839096353008,256.31935386041005,581740
2020-11-02,252.33740234375,256.1159175400291,251.9014073119856,255.81557591974814,619650
2020-11-03,252.1823272705078,254.12969838694622,251.90135209902286,252.48266882495844,536545
2020-11-04,252.0079345703125,253.60656310437844,249.97337019422784,250.5159246367837,642490
2020-11-05,253.9165802001953,255.10827815219054,252.11453065849562,252.11453065849562,798410
2020-11-06,254.07156372070312,255.46671200347544,253.50964295789026,255.38921690643085,540540
2020-11-09,254.39129638671875,256.27087029956607,254.032826131577,255.38921205657104,672440
2020-11-10,266.30816650390625,274.5434029993198,256.1739896365447,256.745608386422,9449615
2020-11-11,265.7074890136719,272.63477041639914,260.23348467027193,270.89084977200537,3059480
2020-11-12,267.6839599609375,271.27839035437347,262.57809419103177,266.4341333837597,2471185
2020-11-13,269.1953430175781,271.8596841262212,264.6707943799679,265.2714774628336,3098180
2020-11-14,271.01678466796875,272.2472151742823,269.1953394940906,272.2472151742823,747940
2020-11-17,267.4610900878906,272.6347525316658,265.96905079276587,271.01678740260456,2093560
2020-11-18,264.5545654296875,265.6493722610753,261.99681306491317,264.4964367100562,1559975
2020-11-19,266.6376037597656,267.40300469689726,263.52759883172484,264.3026681779592,1136050
2020-11-20,267.62579345703125,271.0845699747923,263.84724989984,269.3406495383917,2517915
2020-11-23,263.98297119140625,266.24038219234995,262.9462929832426,265.077778124607,1612630
2020-11-24,263.9732666015625,267.2479893426162,262.9462863956345,265.50406850119157,1122295
2020-11-25,262.3455505371094,265.46525286661586,262.17116440137795,265.46525286661586,949640
2020-11-26,261.8514404296875,263.51786591342534,260.8729206840424,262.75249464478145,614630
2020-11-27,262.2583923339844,264.83554065027033,260.87294190427764,260.87294190427764,994610
2020-12-01,263.159423828125,265.07776032655056,262.2680970594017,263.14005744341347,946720
2020-12-02,261.57049560546875,265.23275249062317,260.92135219772337,265.0777327280721,934200
2020-12-03,267.0251159667969,270.51298686540105,261.5898738903453,264.30264594092756,3157740
2020-12-04,304.3355712890625,309.4511050655844,267.79049839026726,267.79049839026726,52163150
2020-12-07,327.7720947265625,333.28486122083666,306.73834039746,307.125875020364,39043080
2020-12-08,319.43035888671875,348.78654820009234,309.3736753495624,330.7271416233488,30540895
2020-12-09,313.47186279296875,329.6516932139581,310.22623421360146,322.9375600191554,18432185
2020-12-10,281.4997253417969,295.43181136828053,272.2472075180695,272.2472075180695,85934670
2020-12-11,275.3476257324219,280.7344380514925,271.278437345439,272.0438383581388,48864630
2020-12-14,286.5862121582031,292.3411914352292,275.5510108623543,276.1032632176337,47223000
2020-12-15,279.22296142578125,290.2678605277478,277.3046251737308,289.667177441842,26369570
2020-12-16,275.8125915527344,282.1101252439571,275.1537797395779,281.70322423988836,17800040
2020-12-17,276.0935974121094,279.2423646077638,275.2022410733981,277.2852953333538,6637615
2020-12-18,276.0257873535156,282.22643106071297,273.21612390758264,277.09152992045614,16348855
2020-12-21,266.1435241699219,278.5448117897609,263.333831110441,275.8901680884052,12783780
2020-12-22,271.0943603515625,273.0126971390652,258.96434911935404,266.2404044364141,13404085
2020-12-23,273.51641845703125,275.83198734355216,267.21888476943417,272.130968141839,8163885
2020-12-24,273.0126647949219,276.7814816492163,271.8984915146189,275.34760039237443,6214910
2020-12-28,274.75653076171875,278.69976256473603,273.4292092397337,275.15376333429,6621705
2020-12-29,273.3711242675781,276.684579615576,272.8285698296954,276.31644090679794,4642735
2020-12-30,278.0506286621094,279.6104946497869,272.8285354635267,275.1537726997025,8186020
2020-12-31,278.6029052734375,283.8734592369162,277.23682125603233,279.9980536500641,13220150
2021-01-01,279.9980773925781,282.7108497066056,279.04859229916815,280.3856120707248,5820940
2021-01-04,281.1703796386719,284.45480034694157,279.99807762702136,283.2921667445274,5262530
2021-01-05,282.2942199707031,283.4859178042472,277.3724680027196,279.74613612763585,6194675
2021-01-06,287.44854736328125,293.54263143845156,280.7731464879308,283.282497834825,21223825
2021-01-07,288.61114501953125,292.5737435228661,286.78000176206757,289.4927737357208,8845040
2021-01-08,285.1329345703125,292.55433930558235,283.04991012437165,291.43046821482903,7844545
2021-01-11,283.0402526855469,287.55507403901066,281.3544312005867,287.23536609722356,5149790
2021-01-12,286.8671875,290.074083045306,281.74195567217106,283.04024247671447,9024105
